h1,h2,h3,lr,reg,init,activation,train_acc,train_loss,val_acc,val_loss,time,weight_path,log_path,test_acc
128,64,32,0.01,0.001,xavier,sigmoid,25.07333333333333,2.199161214922224,24.5,2.211728402849701,459.75,weights/best_model_xavier_sigmoid_128_64_32_lr0.01_reg0.001.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.01_reg0.001.pkl,25.509999999999998
128,64,32,0.01,0.001,normal,relu,10.05111111111111,2.3178726206417246,13.02,2.317874052134531,437.01,weights/best_model_normal_relu_128_64_32_lr0.01_reg0.001.pkl,logs/history_normal_relu_128_64_32_lr0.01_reg0.001.pkl,12.85
128,64,32,0.01,0.001,normal,tanh,18.13777777777777,2.089877713816168,17.9,2.101399531599073,465.26,weights/best_model_normal_tanh_128_64_32_lr0.01_reg0.001.pkl,logs/history_normal_tanh_128_64_32_lr0.01_reg0.001.pkl,18.02
128,64,32,0.01,0.001,normal,sigmoid,10.0,2.317929117578783,10.0,2.3179291077283235,445.36,weights/best_model_normal_sigmoid_128_64_32_lr0.01_reg0.001.pkl,logs/history_normal_sigmoid_128_64_32_lr0.01_reg0.001.pkl,10.0
128,64,32,0.001,0.0,he,relu,42.29777777777778,1.656765183130501,41.42,1.677239212575243,428.62,weights/best_model_he_relu_128_64_32_lr0.001_reg0.0.pkl,logs/history_he_relu_128_64_32_lr0.001_reg0.0.pkl,40.94
128,64,32,0.001,0.0,he,tanh,43.04222222222222,1.636700623302086,41.54,1.6703367638292157,531.96,weights/best_model_he_tanh_128_64_32_lr0.001_reg0.0.pkl,logs/history_he_tanh_128_64_32_lr0.001_reg0.0.pkl,42.47
128,64,32,0.001,0.0,he,sigmoid,20.09555555555556,2.288918941637603,20.84,2.289303918403027,458.61,weights/best_model_he_sigmoid_128_64_32_lr0.001_reg0.0.pkl,logs/history_he_sigmoid_128_64_32_lr0.001_reg0.0.pkl,20.77
128,64,32,0.001,0.0,xavier,relu,40.61333333333334,1.6989848683019622,39.52,1.7160110150317662,570.34,weights/best_model_xavier_relu_128_64_32_lr0.001_reg0.0.pkl,logs/history_xavier_relu_128_64_32_lr0.001_reg0.0.pkl,40.12
128,64,32,0.001,0.0,xavier,tanh,41.184444444444445,1.6958720229159372,40.42,1.7146114777891168,759.07,weights/best_model_xavier_tanh_128_64_32_lr0.001_reg0.0.pkl,logs/history_xavier_tanh_128_64_32_lr0.001_reg0.0.pkl,40.53
128,64,32,0.001,0.0,xavier,sigmoid,20.19111111111112,2.296066481577938,20.12,2.296341397945404,618.35,weights/best_model_xavier_sigmoid_128_64_32_lr0.001_reg0.0.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.001_reg0.0.pkl,20.29
128,64,32,0.001,0.0,normal,relu,10.0,2.3025784482873712,12.3,2.3025785652654505,542.71,weights/best_model_normal_relu_128_64_32_lr0.001_reg0.0.pkl,logs/history_normal_relu_128_64_32_lr0.001_reg0.0.pkl,12.29
128,64,32,0.001,0.0,normal,tanh,12.386666666666668,2.302566686056392,13.86,2.3025676459792828,588.22,weights/best_model_normal_tanh_128_64_32_lr0.001_reg0.0.pkl,logs/history_normal_tanh_128_64_32_lr0.001_reg0.0.pkl,13.639999999999999
128,64,32,0.001,0.0,normal,sigmoid,10.0,2.3025850129020897,10.0,2.3025850116650903,452.21,weights/best_model_normal_sigmoid_128_64_32_lr0.001_reg0.0.pkl,logs/history_normal_sigmoid_128_64_32_lr0.001_reg0.0.pkl,10.0
128,64,32,0.001,0.0001,he,relu,43.504444444444445,1.6429655451773204,41.72,1.6698311227227176,432.66,weights/best_model_he_relu_128_64_32_lr0.001_reg0.0001.pkl,logs/history_he_relu_128_64_32_lr0.001_reg0.0001.pkl,42.32
